date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,workout
12/06/2017,"3,147","20,406",15.41,0,"1,254",105,14,67,"1,050",none
13/06/2017,"3,138","20,612",15.56,0,"1,117",157,56,110,"1,832",none
14/06/2017,"1,900","2,226",1.68,0,"1,358",82,0,0,313,none
15/06/2017,"2,901","16,339",12.34,0,"1,138",182,39,81,"1,570",none
16/06/2017,"2,544","11,536",8.71,0,"1,235",133,14,58,"1,100",none
17/06/2017,"2,150","4,914",3.71,0,"1,269",158,13,0,667,none
18/06/2017,"2,651","12,907",9.74,0,"1,190",172,38,40,"1,260",none
19/06/2017,"2,631","11,869",8.96,0,"1,242",122,10,66,"1,164",crossfit
20/06/2017,"2,667","11,327",8.55,0,"1,207",142,30,61,"1,256",crossfit
21/06/2017,"2,412","8,123",6.13,0,"1,267",120,17,36,931,crossfit
22/06/2017,"2,216","6,928",5.23,0,"1,296",114,12,18,701,none
23/06/2017,"1,947","1,271",0.96,0,"1,392",18,6,24,319,crossfit
24/06/2017,"1,708","7,114",5.38,0,"1,280",8,0,0,34,none
25/06/2017,"2,814","16,107",12.16,0,"1,440",0,0,0,0,none
26/06/2017,"2,275","7,607",5.79,0,"1,335",79,6,20,615,crossfit
27/06/2017,"2,424","7,714",5.87,0,"1,249",159,10,22,964,crossfit
28/06/2017,"2,565","11,445",8.83,0,"1,227",158,18,37,"1,131",none
29/06/2017,"2,429","8,063",6.09,0,"1,279",115,8,38,933,crossfit
30/06/2017,"2,389","7,378",5.57,0,"1,267",140,7,26,908,crossfit
